"名前","変更後","フリガナ","現役期間"
"葛山久重","油木宣夫","アブラギノブオ","～1984"
"河原直樹","武邦彦","タケクニヒコ","～1984"
"黒崎昭","野村彰彦","ノムラアキヒコ","～1984"
"永野克明","横山富雄","ヨコヤマトミオ","～1984"
"富士野健太郎","中西武信","ナカニシタケノブ","～1984"
"梅田武彦","吉永正人","ヨシナガマサト","～1985"
"榊雄平","千田能照","チダヨシテル","～1985"
"平松幸太","牧野三雄","マキノミツオ","～1985"
"松山真一","中島啓之","ナカジマヒロユキ","～1985"
"熊谷隆","増田久","マスダヒサシ","～1986"
"甲賀直也","伊藤正徳","イトウマサノリ","～1986"
"和田佑輔","目野哲也","メノテツヤ","～1986"
"神岡剣信","池上昌弘","イケガミマサヒロ","～1987"
"萱野直樹","武田悟","タケダサトル","～1987"
"越中克昭","星野信幸","ホシノノブユキ","～1987"
"佐賀正樹","川端義雄","カワバタヨシオ","～1987"
"佐川俊夫","加賀武見","カガタケミ","～1987"
"設楽邦夫","田口光雄","タグチミツオ","～1987"
"手島太一","高崎詠三郎","タカサキエイザブロウ","～1987"
"永野賢司","中野渡清一","ナカノワタリセイイチ","～1987"
"野原亘","佐々木昭次","ササキショウジ","～1987"
"平野順","嶋田功","シマダイサオ","～1987"
"斉田直哉","那須孝一","ナスコウイチ","～1988"
"三宮遼馬","四位満教","シイミチノリ","～1988"
"西原正巳","高橋隆","タカハシタカシ","～1988"
"大島裕也","柴田政見","シバタマサミ","～1989"
"石井良純","菅原泰夫","スガワラヤスオ","～1991"
"緒方健二","増沢末夫","マスザワスエオ","～1991"
"北郷洋介","田島良保","タジマヨシヤス","～1991"
"荒巻知哉","徳吉一己","トクヨシカズミ","～1992"
"酒井広司","郷原洋行","ゴウハラヒロユキ","～1992"
"井上信二","久保敏文","クボトシフミ","～1993"
"久保田翔","伊藤栄","イトウサカエ","～1993"
"大島潤太","柴田政人","シバタマサト","～1994"
"古川英和","樋口弘","ヒグチヒロシ","～1994"
"上田久蔵","小島太","コジマフトシ","～1995"
"河田徹平","清水英次","シミズエイジ","～1996"
"白井正雄","大崎昭一","オオサキショウイチ","～1998"
"斉藤翼","安田富男","ヤスダトミオ","～2001"
"岡部幸雄","","オカベユキオ","～2004"
"鈴木五十丸","須貝四郎","スガイシロウ","1969～1978"
"安藤雅則","福島信晴","フクシマノブハル","1969～1984"
"亀山亮司","目黒正徳","メグロマサノリ","1969～1987"
"山城直人","飯田明弘","イイダアキヒロ","1969～1987"
"小山拓哉","中島敏文","ナカジマトシフミ","1969～1990"
"金谷明夫","菅野昭夫","カンノアキオ","1969～1991"
"大豊佑輔","松田幸春","マツダユキハル","1969～1991"
"緑川涼太","楠孝志","クスノキタカシ","1969～1992"
"横出利充","横田吉光","ヨコタヨシミツ","1969～1994"
"大森登","内田国夫","ウチダクニオ","1969～1995"
"服部晃一","西浦勝一","ニシウラカツイチ","1969～1995"
"水島一之","伊藤清章","イトウキヨアキ","1969～1997"
"小牧誠治","蓑田早人","ミノダハヤト","1969～1999"
"戸田優也","田村正光","タムラマサミツ","1969～1999"
"飯山毅志","西野桂","ニシノカツラ","1970～1982"
"松代幸男","久保一秋","クボカズアキ","1970～1982"
"埼玉英雄","高橋司","タカハシツカサ","1970～1983"
"森下直樹","田子冬樹","タゴフユキ","1970～1983"
"原田大","吉永良人","ヨシナガヨシト","1970～1988"
"布施勇気","西橋豊治","ニシハシトヨジ","1970～1988"
"山田慶太","高山裕","タカヤマユタカ","1970～1990"
"関武雄","出口明見","デグチアケミ","1970～1993"
"橋本博","柴崎勇","シバサキイサム","1970～1993"
"宮出広","宮田仁","ミヤタヒトシ","1970～1995"
"萩和久","東信二","アズマシンジ","1970～1997"
"輪島敦士","蛯沢誠治","エビサワセイジ","1970～1999"
"村田昌也","坂井千明","サカイチアキ","1970～2004"
"大森俊之","崎山博樹","サキヤマヒロキ","1971～1983"
"岡島真人","田所秀孝","タドコロヒデタカ","1971～1994"
"山口満","中野栄治","ナカノエイジ","1971～1994"
"出川佑一郎","小迫次男","コサコツギオ","1971～1995"
"東村友則","南井克巳","ミナイカツミ","1971～1998"
"吉良和之","小島貞博","コジマサダヒロ","1971～2000"
"平林二郎","太宰義人","ダザイヨシヒト","1972～1982"
"財津大輔","鎌田光也","カマタミツヤ","1972～1985"
"菅野昭二","赤羽秀男","アカバヒデオ","1972～1988"
"市川悠太","安田隆行","ヤスダタカユキ","1972～1993"
"徳島遼","吉沢宗一","ヨシザワソウイチ","1972～1995"
"緒方浩","外枦保重秋","ソトヘボシゲアキ","1973～1985"
"古城政伸","嶋田潤","シマダジュン","1973～1985"
"八木昭二","佐藤等","サトウヒトシ","1973～1984"
"高松宏","菅野澄男","カンノスミオ","1973～1986"
"布施大輝","西橋昇","ニシハシノボル","1973～1991"
"二宮佑馬","五十嵐忠男","イガラシタダオ","1973～1992"
"石上雄三","堀井雅広","ホリイマサヒロ","1973～1993"
"下村修","竹原啓二","タケハラケイジ","1973～1996"
"岸一哉","田島信行","タジマノブユキ","1973～2001"
"鍋田則道","桑島孝明","クワジマタカアキ","1974～1980"
"菊川由幸","佐々木晶三","ササキショウゾウ","1974～1983"
"寺島高之","山内研二","ヤマウチケンジ","1974～1986"
"本田勇","岩元市三","イワモトイチゾウ","1974～1988"
"関総一朗","出口隆義","デグチタカヨシ","1974～1989"
"峰岸理久","小西一男","コニシカズオ","1974～1989"
"大杉幸雄","秋山忠一","アキヤマチュウイチ","1974～1990"
"西条俊太郎","石神富士雄","イシガミフジオ","1974～1991"
"中丸良介","池添兼雄","イケゾエカネオ","1974～1991"
"坂上涼平","蛯名信広","エビナノブヒロ","1974～1992"
"森英樹","河内洋","カワチヒロシ","1974～2002"
"木下英雄","花松進","ハナマツススム","1975～1988"
"佐賀和也","柴田光陽","シバタミツハル","1975～1988"
"原誠司","田中清隆","タナカキヨタカ","1975～1989"
"赤城賢司","木藤隆行","キフジタカユキ","1975～1995"
"河合勝之","小谷内秀夫","コヤウチヒデオ","1975～1997"
"的場均","","マトバヒトシ","1975～2000"
"大川豊","村本善之","ムラモトヨシユキ","1975～2003"
"長瀬孝太郎","加藤和宏","カトウカズヒロ","1975～2004"
"西堀修","鍛冶谷誠","カジタニマコト","1976～1990"
"吉田進","加用正","カヨウタダシ","1976～1992"
"大井幸平","今井規和","イマイノリカズ","1976～2002"
"潮田太郎","山田定男","ヤマダサダオ","1977～1983"
"谷村勇人","久保田敏彦","クボタトシヒコ","1977～1990"
"福留誠治","桜井誠二","サクライセイジ","1977～1990"
"瀬川祐輝","猿橋重利","サルハシシゲトシ","1977～1996"
"古屋浩二","根本康広","ネモトヤスヒロ","1977～1996"
"野間政夫","松永昌博","マツナガマサヒロ","1977～2001"
"河合祐一","大塚栄三郎","オオツカエイザブロウ","1977～2005"
"久世雅夫","高市圭二","タカイチケイジ","1978～1989"
"久保村輝彦","田原成貴","タバラセイキ","1978～1997"
"石井祐治","菅原隆明","スガハラタカアキ","1978～1998"
"松村孝行","原田雄二","ハラダユウジ","1979～1989"
"戸田啓介","国兼正浩","クニカネマサヒロ","1979～1990"
"有賀賢一","音無秀孝","オトナシヒデタカ","1979～1992"
"亀田幸治","柏崎正次","カシワザキマサツグ","1979～1993"
"宮沢秀幸","安藤賢一","アンドウケンイチ","1979～1996"
"平原良和","栗田伸一","クリタシンイチ","1979～2001"
"松山哲平","田中剛","タナカツヨシ","1979～2008"
"柳原俊介","鈴木三好","スズキミヨシ","1980～1982"
"田代良一","丸山勝秀","マルヤマカツヒデ","1980～1991"
"長森利行","大西直宏","オオニシナオヒロ","1980～2006"
"八村晋哉","本田優","ホンダマサル","1980～2006"
"五十嵐正樹","宮徹","ミヤトオル","1981～1995"
"岡山純平","東田幸男","ヒガシダユキオ","1981～1995"
"星野健司","小屋敷昭","コヤシキアキラ","1981～1999"
"阿部賢治","杉浦宏昭","スギウラヒロアキ","1982～1994"
"城山弘樹","北村卓士","キタムラタカシ","1982～2000"
"亀山寛","岡冨俊一","オカトミシュンイチ","1982～2002"
"小杉亮介","土肥幸広","ドヒユキヒロ","1982～2004"
"東幸平","大江原隆","オオエハラタカシ","1982～2005"
"小畑順","細川英二","ホソカワエイジ","1983～1996"
"鳥羽徹平","原昌久","ハラマサヒサ","1983～1997"
"酒井幹久","増井裕","マスイヒロシ","1983～1998"
"坂上周二","松本達也","マツモトタツヤ","1983～2002"
"新山秀樹","菅谷正巳","スガヤマサミ","1983～2003"
"板橋貴之","田面木博公","タモギヒロマサ","1983～2012"
"小倉守","坂本勝美","サカモトカツミ","1984～1997"
"奈良秀一","中竹和也","ナカタケカズヤ","1984～1997"
"早川翔馬","鈴木寿","スズキヒトシ","1984～2003"
"篠山晃一","鹿戸雄一","シカトユウイチ","1984～2006"
"山野喜三郎","中舘英二","ナカダテエイジ","1984～2014"
"真崎吾郎","木幡初広","コワタハツヒロ","1984～2017"
"北郷洋一","岩戸孝樹","イワトタカキ","1985～1999"
"末広大","山田和広","ヤマダカズヒロ","1985～2003"
"大谷勇","谷中公一","ヤナカコウイチ","1985～2004"
"鈴木忍","須貝尚介","スガイナオスケ","1985～2007"
"深谷信之","田島裕和","タジマヒロカズ","1985～2010"
"菱川保","石橋守","イシバシマモル","1985～2012"
"柴田善臣","","シバタヨシトミ","1985～"
"古屋瞬","瀬古正明","セコマサアキ","1986～1998"
"田辺翔","武藤善則","ムトウヨシノリ","1986～2000"
"長野謙","古川寛和","フルカワヒロカズ","1986～2003"
"森村満","松永幹夫","マツナガミキオ","1986～2005"
"熊沢重文","","クマザワシゲフミ","1986～2023"
"永野伸次郎","横山典弘","ヨコヤマノリヒロ","1986～"
"安部真司","塩村克己","シオムラカツミ","1987～2001"
"江川圭人","伊藤暢康","イトウノブヤス","1987～2005"
"蛯名正義","","エビナマサヨシ","1987～2020"
"武豊","","タケユタカ","1987～"
"熊川潤","岡潤一郎","オカジュンイチロウ","1988～1992"
"山田貴明","横田雅博","ヨコタマサヒロ","1988～1999"
"甲賀准一","岸滋彦","キシシゲヒコ","1988～2002"
"矢部佑麿","藤原英幸","フジワラヒデユキ","1988～2004"
"菊川真吾","内田浩一","ウチダコウイチ","1988～2007"
"喜多川太治","菊沢隆徳","キクザワタカノリ","1988～2009"
"瀬島修二","芹沢純一","セリザワジュンイチ","1988～2012"
"田宮克明","五十嵐久","イガラシヒサシ","1989～1994"
"河崎純","山田泰誠","ヤマダタイセイ","1989～2003"
"群馬翔悟","高橋明","タカハシアキラ","1989～2003"
"三河稔夫","小池隆生","コイケタカオ","1989～2007"
"比嘉晴広","千田輝彦","チダテルヒコ","1989～2008"
"高田大樹","角田晃一","ツノダコウイチ","1989～2009"
"篠山佑介","小野次郎","オノジロウ","1989～2010"
"佐藤哲三","","サトウテツゾウ","1989～2013"
"田中勝春","","タナカカツハル","1989～"
"北川光一","玉ノ井健志","タマノイタケシ","1990～1991"
"青島四郎","牧田和弥","マキタカズヤ","1990～2004"
"荒巻雄也","村山明","ムラヤマアキラ","1990～2006"
"大久保武彦","沢昭典","サワアキノリ","1990～2007"
"葉山太一","小原義之","オバラヨシユキ","1990～2009"
"浜島正巳","浜野谷憲尚","ハマノヤノリヒサ","1990～2019"
"江田照男","","エダテルオ","1990～"
"篠崎孝二","橋本広喜","ハシモトヒロキ","1991～2002"
"高地孝良","安田康彦","ヤスダヤスヒコ","1991～2005"
"滝山雄輔","徳吉孝士","トクヨシコウジ","1991～2006"
"富田直也","水野貴広","ミズノタカヒロ","1991～2006"
"黒崎玲","河北通","カワキタトオル","1991～2008"
"緑川裕次郎","郷原洋司","ゴウハラヒロシ","1991～2009"
"戸塚幸男","土谷智紀","ツチヤトモノリ","1991～2010"
"曽根正行","藤田伸二","フジタシンジ","1991～2014"
"四位洋文","","シイヒロフミ","1991～2019"
"香川修三","横山賀一","ヨコヤマヨシカズ","1992～2005"
"衣河辰彦","菊沢隆仁","キクザワタカヒト","1992～2005"
"渋谷遼","高橋康之","タカハシヤスユキ","1992～2006"
"徳重雅也","吉永護","ヨシナガマモル","1992～2007"
"小松原次郎","橋本美純","ハシモトヨシズミ","1992～2009"
"山本高之","小林淳一","コバヤシジュンイチ","1992～2011"
"井原次郎","上村洋行","ウエムラヒロユキ","1992～2013"
"安川道夫","後藤浩輝","ゴトウヒロキ","1992～2014"
"吉井英司","横山義行","ヨコヤマヨシユキ","1992～2017"
"水田敦","亀山泰延","カメヤマヤスノブ","1993～2003"
"小岩洋輔","藤井正輝","フジイマサテル","1993～2004"
"佐川良太","嶋田高宏","シマダタカヒロ","1993～2005"
"大木優也","川合達彦","カワイタツヒコ","1993～2005"
"石川智","伊藤直人","イトウナオト","1993～2011"
"福山祐介","宗像徹","ムナカタトオル","1993～2011"
"笹多修士","飯田祐史","イイダユウジ","1993～2012"
"木境鉄雄","小林徹弥","コバヤシテツヤ","1993～"
"水口康仁","田口大二郎","タグチダイジロウ","1994～2001"
"江口憲一","高山太郎","タカヤマタロウ","1994～2009"
"戸山英彦","小林久晃","コバヤシヒサアキ","1994～2010"
"進藤武","渡辺薫彦","ワタナベクニヒコ","1994～2012"
"小泉翔平","岩部純二","イワベジュンジ","1994～"
"幸英明","","ミユキヒデアキ","1994～"
"吉田豊","","ヨシダユタカ","1994～"
"久世博","矢原洋一","ヤハラヨウイチ","1995～2008"
"笠置利盛","金折知則","カナオリトモノリ","1995～2010"
"小俣正明","野元昭嘉","ノモトアキヨシ","1995～2011"
"中橋良介","青木芳之","アオキヨシユキ","1995～2012"
"山岡健介","山本康志","ヤマモトコウシ","1995～"
"伊東恵里","細江純子","ホソエジュンコ","1996～2000"
"井上京子","田村真来","タムラマキ","1996～2001"
"舟岸達仁","常石勝義","ツネイシカツヨシ","1996～2006"
"島田健治","柴田未崎","シバタミサキ","1996～2010"
"谷浜章","高橋亮","タカハシリョウ","1996～2011"
"佐藤敦子","増沢由貴子","マスザワユキコ","1996～2013"
"福永祐一","","フクナガユウイチ","1996～2022"
"小菅龍也","古川吉洋","フルカワヨシヒロ","1996～"
"柴田大知","","シバタダイチ","1996～"
"和田竜二","","ワダリュウジ","1996～"
"荒川美幸","押田純子","オシダジュンコ","1997～1999"
"武幸四郎","","タケコウシロウ","1997～2016"
"戸山勝人","村田一誠","ムラタイッセイ","1997～2020"
"秋山真一郎","","アキヤマシンイチロウ","1997～2023"
"宇治川利丸","武士沢友治","ブシザワトモハル","1997～2023"
"益名栄達","松田大作","マツダダイサク","1997～2023"
"松平裕司","勝浦正樹","カツウラマサキ","1997～2023"
"篠原良一","野崎孝仁","ノザキタカヒロ","1998～2001"
"田島和彦","穂苅寿彦","ホカリトシヒコ","1998～2012"
"菅谷啓二","中谷雄太","ナカタニユウタ","1998～2019"
"上屋敷彰俊","竹之下智昭","タケノシタトモアキ","1998～2022"
"池添謙一","","イケゾエケンイチ","1998～"
"葛西退助","太宰啓介","ダザイケイスケ","1998～"
"若江守","酒井学","サカイマナブ","1998～"
"近藤俊之","武英智","タケヒデノリ","1999～2011"
"望月竜次","二本柳壮","ニホンヤナギソウ","1999～2017"
"北村宏司","","キタムラヒロシ","1999～"
"佐賀秀幸","高田潤","タカダジュン","1999～"
"久米亜希","西原玲奈","ニシハラレナ","2000～2009"
"飯田周二","田嶋翔","タジマショウ","2000～2011"
"水口弥太郎","鈴来直人","スズキナオト","2000～2012"
"三宅耕司","梶晃啓","カジテルヒロ","2000～2014"
"豊島健太","嘉藤貴行","カトウタカユキ","2000～2020"
"袴田丈司","畑端省吾","ハタバタショウゴ","2000～2020"
"浜崎剛志","田中亮","タナカリョウ","2001～2006"
"大西優","川島信二","カワシマシンジ","2001～2023"
"宮本佑馬","大庭和弥","オオバカズヤ","2001～2023"
"尾崎唯夫","小坂忠士","コサカタダシ","2001～"
"北川太郎","石神深一","イシガミシンイチ","2001～"
"小松伸一","難波剛健","ナンバヨシヤス","2001～"
"前川祐馬","井西泰政","イニシヤスマサ","2002～2002"
"福山隆史","岩崎祐己","イワサキユウキ","2002～2010"
"室木広樹","南井大志","ミナイヒロシ","2002～2010"
"島野敦行","柴原央明","シバハラフミアキ","2002～2011"
"窪北壮","黒岩悠","クロイワユウ","2002～"
"田辺裕信","","タナベヒロノブ","2002～"
"湯川真一","五十嵐雄祐","イガラシユウスケ","2002～"
"長居譲也","高井彰大","タカイショウタ","2003～2008"
"石井幸二郎","加藤士津八","カトウシヅヤ","2003～2010"
"片平流星","北村浩平","キタムラコウヘイ","2003～2010"
"寺内幹次","長谷川浩大","ハセガワコウダイ","2003～2011"
"安藤勝己","","アンドウカツミ","2003～2012"
"八雲寿季","佐久間寛志","サクマヒロシ","2003～2020"
"小池治","石橋脩","イシバシシュウ","2003～"
"松岡正海","","マツオカマサミ","2003～"
"若井晃次","赤木高太郎","アカギコウタロウ","2004～2009"
"輪島誠司","小牧太","コマキフトシ","2004～2024"
"川田将雅","","カワダユウガ","2004～"
"佐伯英彦","上野翔","ウエノショウ","2004～"
"関根冬人","丹内祐次","タンナイユウジ","2004～"
"津村明秀","","ツムラアキヒデ","2004～"
"藤岡佑介","","フジオカユウスケ","2004～"
"吉田隼人","","ヨシダハヤト","2004～"
"千葉信夫","塚田祥雄","ツカダヨシオ","2005～2009"
"上田和久","小島太一","コジマタイチ","2005～2019"
"春日卓也","柴山雄一","シバヤマユウイチ","2005～2023"
"鮎川健","鮫島良太","サメシマリョウタ","2005～"
"坂田勇紀","大野拓弥","オオノタクヤ","2005～"
"長宗行明","中村将之","ナカムラマサユキ","2005～"
"岩田康誠","","イワタヤスナリ","2006～"
"金森隆治","的場勇人","マトバハヤト","2006～"
"北村友一","","キタムラユウイチ","2006～"
"平川淳平","田中博康","タナカヒロヤス","2006～"
"宮田博","田村太雅","タムラタイガ","2006～"
"牧野順","安藤光彰","アンドウミツアキ","2007～2011"
"向井大輔","大下智","オオシタサトシ","2007～2017"
"藤岡康太","","フジオカコウタ","2007～2023"
"門脇颯太郎","丸田恭介","マルタキョウスケ","2007～"
"田辺由幸","荻野琢真","オギノタクマ","2007～"
"浜中俊","","ハマナカスグル","2007～"
"谷原康一郎","田中健","タナカケン","2007～"
"山口晃一","宮崎北斗","ミヤザキホクト","2007～"
"内田博幸","","ウチダヒロユキ","2008～"
"福島豊","伊藤工真","イトウタクマ","2008～"
"三浦皇成","","ミウラコウセイ","2008～"
"鴨川耕司","小野寺祐太","オノデラユウタ","2009～"
"神戸宗平","国分恭介","コクブンキョウスケ","2009～"
"神戸直広","国分優作","コクブンユウサク","2009～"
"松山弘平","","マツヤマコウヘイ","2009"
"村谷智成","丸山元気","マルヤマゲンキ","2009～"
"岡原遼","平野優","ヒラノユウ","2010～2016"
"中条光一","水口優也","ミズグチユウヤ","2010～2024"
"新木隆也","川須栄彦","カワスハルヒコ","2010～"
"川田正章","菅原隆一","スガハラリュウイチ","2010～"
"西岡歩","高倉稜","タカクラリョウ","2010～"
"東町洋二","西村太一","ニシムラタイチ","2010～"
"浅野憲二","高嶋活士","タカシマカツジ","2011～2014"
"石井良平","花田大昂","ハナダヒロタカ","2011～2015"
"金杉俊二","藤懸貴志","フジカケタカシ","2011～"
"狩野健司","嶋田純次","シマダジュンジ","2011～"
"須藤貴之","杉原誠人","スギハラマコト","2011～"
"森谷晋也","森一馬","モリカズマ","2011～"
"横山和生","","ヨコヤマカズオ","2011～"
"奈良沢聖司","山崎亮誠","ヤマサキリョウセイ","2012～2013"
"浜村達也","原田和真","ハラダカズマ","2012～"
"半田蔵之介","中井裕二","ナカイユウジ","2012～"
"堀川賢司","長岡禎仁","ナガオカヨシヒト","2012～"
"光村義輝","菱田裕二","ヒシダユウジ","2012～"
"山寺聡","原田敬伍","ハラダケイゴ","2013～2013"
"高森寛","和田翼","ワダツバサ","2013～2024"
"尾上龍二","伴啓太","バンケイタ","2013～"
"瀬川春樹","城戸義政","キドヨシマサ","2013～"
"戸崎圭太","","トサキケイタ","2013～"
"浅村進之介","井上敏樹","イノウエトシキ","2014～"
"伊勢谷和人","松若風馬","マツワカフウマ","2014～"
"真崎敏弘","木幡初也","コワタハツヤ","2014～"
"村重幸樹","石川裕紀人","イシカワユキト","2014～"
"森岡智仁","小崎綾也","コザキリョウヤ","2014～"
"鮫島克駿","","サメシマカツマ","2015～"
"デムーロ","","ミルコデムーロ","2015～"
"原川正孝","野中悠太郎","ノナカユウタロウ","2015～"
"ルメール","","クリストフルメール","2015～"
"中山和香菜","藤田菜七子","フジタナナコ","2016～2024"
"坂井瑠星","","サカイリュウセイ","2016～"
"佐古隆","荻野極","オギノキワム","2016～"
"不破重雄","木幡巧也","コワタタクヤ","2016～"
"田辺洋大","武藤雅","ムトウミヤビ","2017～"
"不破和雄","木幡育也","コワタイクヤ","2017～"
"宮城貴哉","富田暁","トミタアカツキ","2017～"
"湯浅新","川又賢治","カワマタケンジ","2017～"
"横山武史","","ヨコヤマタケシ","2017～"
"大橋塁","山田敬士","ヤマダケイシ","2018～2023"
"神保裕一","服部寿希","ハットリトシキ","2018～2023"
"西村淳也","","ニシムラアツヤ","2018～"
"芝辻亮二","大塚海渡","オオツカカイト","2019～2024"
"岩田望来","","イワタミライ","2019～"
"神原陽一","斎藤新","サイトウアラタ","2019～"
"木境駿太","小林凌大","コバヤシリョウタ","2019～"
"菅原明良","","スガワラアキラ","2019～"
"団野大成","","ダンノタイセイ","2019～"
"茂木倫太郎","亀田温心","カメダハート","2019～"
"木境涼介","小林脩斗","コバヤシシュウト","2020～"
"中嶋蓮","秋山稔樹","アキヤマトシキ","2020～"
"三輪拓海","原優介","ハラユウスケ","2020～"
"桃野彰浩","泉谷楓真","イズミヤフウマ","2020～"
"柳沢直輝","永野猛蔵","ナガノタケゾウ","2021～2024"
"岩永徳哉","小沢大仁","オザワダイト","2021～"
"永島まなみ","","ナガシママナミ","2021～"
"長野ほの香","古川奈穂","フルカワナホ","2021～"
"吉井歩希","横山琉人","ヨコヤマリュウト","2021～"
"高田幸浩","角田大河","ツノダタイガ","2022～2024"
"磯貝卓","西塚洸二","ニシヅカコウジ","2022～"
"市野川美優","今村聖奈","イマムラセイナ","2022～"
"野口祐太郎","佐々木大輔","ササキダイスケ","2022～"
"佐々木範康","小林勝太","コバヤシショウタ","2023～2024"
"浅海凪沙","小林美駒","コバヤシミク","2023～"
"小尾由紀乃","河原田菜々","カワハラダナナ","2023～"
"幸島元気","田口貫太","タグチカンタ","2023～"
"平泉真奈","大江原比呂","オオエハラヒロ","2024～2024"
"及川勝呂","高杉吏麒","タカスギリキ","2024～"
"木曽太陽","吉村誠之助","ヨシムラセイノスケ","2024～"
"西野新","長浜鴻緒","ナガハマコオ","2024～"
"大木武治","上里直汰","ウエザトナオタ","2025～"
"鈴本明美","谷原柚希","タニハラユズキ","2025～"
"野尻尚宏","和田陽希","ワダハルキ","2025～"
"平野裕生","田山旺佑","タヤマオウスケ","2025～"
